SEX,STATUS,QUALIFICATIONS,EMPLOYER,LEVEL
F,A,3-18 ASN,O,3-18
F,A,"3-18 ASN, 3-18 TESOL",O,3-18
F,A,3-18 TESOL,I,3-18
F,A,3-18 TESOL,O,3-18
F,A,3-18 TESOL,,3-18
F,A,3-18 TESOL,,3-18
F,A,F,F,F
F,A,F,F,F
F,A,F,F,F
F,A,F,F,F
F,A,F,F,F
F,A,F,F,F
F,A,F,F,F
F,A,F,F,F
F,A,F,F,F
F,A,F,F,F
F,A,F,F,F
M,A,F,F,F
M,A,F,F,F
M,A,F,F,F
F,A,F,I,F
M,A,F,N,F
F,A,F,O,F
F,A,F,O,F
F,A,F,O,F
M,A,F,O,F
M,A,F,O,F
M,A,F,O,F
F,A,F,,F
F,A,F,,F
F,A,F,,F
M,A,F,,F
M,A,F,,F
M,A,F,,F
M,A,F,,F
M,A,F,,F
F,A,"3-18 ASN, P",I,M
F,A,"3-18 ASN, P",N,M
F,A,"3-18 ASN, P",O,M
F,A,"3-18 ASN, P",,M
F,A,"3-18 ASN, S HISTORY",L,M
F,A,"3-18 ASN, S HISTORY",N,M
F,A,"CROSS-SECTOR PRI - SEC MUSIC, P",L,M
F,A,"CROSS-SECTOR PRI - SEC PHILOSOPHY, P",O,M
F,A,"CROSS-SECTOR SEC - PRI PRIMARY, S TECH",O,M
F,A,"F, 3-18 TESOL",F,M
F,A,"F, 3-18 TESOL",N,M
F,A,"F, P",F,M
F,A,"F, P",F,M
F,A,"F, P",F,M
F,A,"F, P",F,M
F,A,"F, P",F,M
F,A,"F, P",F,M
F,A,"F, P",F,M
F,A,"F, P",N,M
F,A,"F, P",O,M
F,A,"F, S ENGLISH, S PSYCHOLOGY",N,M
F,A,"F, S GERMAN, 3-18 TESOL",O,M
F,A,"F, S HISTORY",F,M
M,A,"F, S HISTORY",F,M
F,A,"F, S HISTORY, S MODERN STUDIES, S PSYCHOLOGY",F,M
M,A,"F, S HISTORY, S MODERN STUDIES, S SPANISH",O,M
M,A,"F, S MATHS, S PHYSICS",,M
M,A,"F, S MODERN STUDIES, S SASN",O,M
F,A,"F, S MUSIC",F,M
M,A,"F, S MUSIC",F,M
M,A,"F, S PE",F,M
M,A,"F, S PE",F,M
M,A,"F, S PE",F,M
M,A,"F, S RE",F,M
M,A,"F, S RE",F,M
F,A,"F, S RUSSIAN",,M
M,A,"F, S TECH",F,M
M,A,"F, S TECH",F,M
M,A,"F, S TECH",F,M
M,A,"F, S TECH",F,M
M,A,"F, S TECH",,M
F,A,"P, 3-18 ASN",L,M
F,A,"P, 3-18 ASN",L,M
F,A,"P, 3-18 ASN",N,M
F,A,"P, 3-18 ASN",O,M
F,A,"P, 3-18 ASN",,M
F,A,"P, 3-18 ASN",,M
F,A,"P, 3-18 ASN",,M
F,A,"P, 3-18 TESOL",,M
F,A,"P, PMUSIC",O,M
F,A,"P, S RE",L,M
M,A,"P, S SASN",,M
F,A,"P, TEACHER EDUCATION INSTITUTION",,M
F,A,"S ART, P, S SSEN",O,M
M,A,"S BIOLOGY, 3-18 TESOL",,M
F,A,"S BIOLOGY, P, S SCIENCE GENERAL",,M
F,A,"S BIOLOGY, S CHEMISTRY, F",,M
F,A,"S BIOLOGY, S CHEMISTRY, F, S SCIENCE GENERAL",,M
F,A,"S BIOLOGY, S CHEMISTRY, P",L,M
M,A,"S BIOLOGY, S COMPUTING, P",O,M
F,A,"S BUSINESS, F",L,M
F,A,"S BUSINESS, S COMPUTING, F",F,M
F,A,"S BUSINESS, S COMPUTING, S ECONOMICS, CROSS-SECTOR SEC - PRI PRIMARY",O,M
